,urlkey,timestamp,original,mimetype,statuscode,digest,length,year,month,day
113,"com,predpol,blog)/tag/law-enforcement-technology",20231209183913,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,2QILOUPIAN26I2FTMWBY5RBEEGQNFBZN,12497,2023,12,09
114,"com,predpol,blog)/tag/predictive-analytics/page/2",20200702124840,http://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,4OUG2XM5NWR3SJU6G47FEGNXTKCBCKZD,11107,2020,07,02
115,"com,predpol,blog)/tag/predictive-analytics/page/2",20200806155256,http://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,JKUA4PGAGNMUYGPW6MOO7NH7YPJE62Q3,11457,2020,08,06
116,"com,predpol,blog)/tag/predictive-analytics/page/2",20201031154850,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,CSRFCKKKTC5GMXJ3G54J374Q3OBJMUBY,11624,2020,10,31
117,"com,predpol,blog)/tag/predictive-analytics/page/2",20210117121643,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,THPCL54XFT3KJPO23VV6JK6DKDRSIDPE,11658,2021,01,17
118,"com,predpol,blog)/tag/predictive-analytics/page/2",20210420124726,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,YYWZFMC2UMIGLJKEGAREZZQOQHXJ7RO5,12242,2021,04,20
119,"com,predpol,blog)/tag/predictive-analytics/page/2",20210926000232,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,GMELDRR2FN4AY5BKASC7K36Z72P77UC4,12222,2021,09,26
120,"com,predpol,blog)/tag/predictive-analytics/page/2",20220128080928,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,ISVR3TPA57KJ2PJZA45ABLAMCILCBBR3,12203,2022,01,28
121,"com,predpol,blog)/tag/predictive-analytics/page/2",20220704022820,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,G52JOYAOCUDHVJQBQQU7EDGBOQFBVDGQ,12189,2022,07,04
122,"com,predpol,blog)/tag/predictive-analytics/page/2",20221130232843,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,UTNPUYTQ5UWEG5L2UNLXBPBKADN5S7WO,12351,2022,11,30
123,"com,predpol,blog)/tag/predictive-analytics/page/2",20230609035937,https://blog.predpol.com/tag/predictive-analytics/page/2,text/html,200,RO6NYKFEZ27XEICOAMQD267J4FXH74VR,12032,2023,06,09
124,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20181028095538,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,5NCR7RMZBIYLJW6RHGK2FLWMXNROJHFQ,9959,2018,10,28
125,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20181030191638,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,4BCB4QB7ZQ76LZCGFHLVE4E36AAJAKG6,10090,2018,10,30
126,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20181205095305,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,TS5R7DN7KSOI2KRZVMTVOS7CJ6MPXIPB,10048,2018,12,05
127,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20181206122446,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,AAPBXGBPRHD4ZQBT6ICHWPM4H7SPUK2Y,10107,2018,12,06
128,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20190106144116,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,7OV7YOGODGTPQSLYULCAEBV2DNVQTK6I,10306,2019,01,06
129,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20190208095235,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,5HM7ZZ2GVSSGGAMGW76G5LFOSLYMKPTP,10312,2019,02,08
130,"com,predpol,blog)/september-feature-spotlight-manage-crime-types",20190314093454,http://blog.predpol.com:80/september-feature-spotlight-manage-crime-types,text/html,200,UWFUTXIGVSTD6TKDCC5K4RE5VSK6QDGL,10053,2019,03,14
